arm,step,epoch,val_HIT1_VG,val_R1_05,val_R1_07,val_mAP_avg,val_mAP_long,val_mAP_middle,val_mAP_short,train_loss
baseline,7694,135,70.19355010986328,71.8709716796875,57.4838752746582,52.5661735534668,57.81684875488281,53.03782653808594,20.00534439086914,12.573817253112793
baseline,7751,136,70.58065032958984,72.90322875976562,57.4838752746582,52.403297424316406,57.60437774658203,52.96759796142578,19.507848739624023,12.542645454406738
baseline,7808,137,70.19355010986328,73.0967788696289,59.35484313964844,53.02223205566406,57.460941314697266,54.191219329833984,20.071090698242188,12.5302095413208
baseline,7865,138,70.38710021972656,72.0,57.677425384521484,52.66149139404297,56.47990417480469,53.638736724853516,20.897232055664062,12.633027076721191
baseline,7922,139,70.6451644897461,72.06452178955078,57.8709716796875,53.13186264038086,57.13444900512695,54.859683990478516,19.62018394470215,12.51601505279541
baseline,7979,140,70.12903594970703,72.45161437988281,58.77419662475586,52.535362243652344,56.89861297607422,53.782588958740234,19.845476150512695,12.488211631774902
baseline,8036,141,70.38710021972656,72.06452178955078,58.19355392456055,52.548858642578125,56.76490020751953,53.596656799316406,20.47447967529297,12.456369400024414
baseline,8093,142,70.96774291992188,72.38710021972656,58.32258605957031,52.448429107666016,56.5496711730957,53.46689987182617,20.503259658813477,12.454659461975098
baseline,8150,143,70.06452178955078,72.70967864990234,58.580650329589844,52.85928726196289,57.740325927734375,53.5272331237793,20.527490615844727,12.422098159790039
baseline,8207,144,70.25807189941406,72.19355010986328,58.19355392456055,52.4083251953125,57.31673049926758,53.05390167236328,19.978424072265625,12.526227951049805
baseline,8264,145,70.5161361694336,71.93548583984375,57.8709716796875,52.27518081665039,56.23624801635742,53.17852020263672,20.346153259277344,12.431653022766113
baseline,8321,146,70.06452178955078,72.0,57.29032897949219,52.274314880371094,56.5412712097168,53.5134162902832,19.988948822021484,12.396376609802246
baseline,8378,147,70.70967864990234,71.61290740966797,57.80645751953125,52.43437194824219,56.37520217895508,53.97697830200195,19.514860153198242,12.384015083312988
baseline,8435,148,70.45161437988281,71.48387145996094,57.8709716796875,52.2311897277832,55.862709045410156,53.49258041381836,20.13036346435547,12.431178092956543
baseline,8492,149,70.12903594970703,71.54839324951172,57.41936111450195,52.652992248535156,57.221988677978516,53.92149353027344,19.1291561126709,12.345775604248047
baseline,8549,150,69.741943359375,71.80645751953125,57.935489654541016,52.15520477294922,56.36833572387695,53.56135177612305,19.345060348510742,12.371768951416016
baseline,8606,151,69.93548583984375,71.03226470947266,57.29032897949219,51.888099670410156,56.45083999633789,52.7524528503418,19.569381713867188,12.360345840454102
baseline,8663,152,70.00000762939453,72.12903594970703,58.2580680847168,52.6265983581543,56.789215087890625,53.73955154418945,19.98207664489746,12.304642677307129
baseline,8720,153,70.00000762939453,71.61290740966797,57.8709716796875,52.18962478637695,56.101287841796875,53.36892318725586,20.46702766418457,12.336958885192871
baseline,8777,154,70.77420043945312,72.32258605957031,58.19355392456055,52.434783935546875,56.186946868896484,53.46989822387695,21.135374069213867,12.331927299499512
baseline,8834,155,71.29032897949219,71.8709716796875,57.8709716796875,51.83713150024414,56.10889434814453,53.2048225402832,19.187158584594727,12.286806106567383
baseline,8891,156,70.58065032958984,72.70967864990234,58.38710021972656,52.31416320800781,56.403987884521484,53.67860794067383,19.808822631835938,12.308335304260254
baseline,8948,157,71.41935729980469,71.61290740966797,57.8709716796875,52.283260345458984,56.31328582763672,53.68483352661133,20.00564193725586,12.292235374450684
baseline,9005,158,70.12903594970703,71.61290740966797,57.61290740966797,51.906776428222656,55.807334899902344,53.19338607788086,20.063438415527344,12.25456714630127
baseline,9062,159,70.12903594970703,71.80645751953125,56.967742919921875,51.89641571044922,55.8873405456543,53.58670425415039,19.161169052124023,12.279376983642578
baseline,9119,160,70.6451644897461,70.5161361694336,56.90322494506836,51.6886100769043,57.40214920043945,52.16225814819336,19.3996524810791,12.255873680114746
momentmix,163,1,26.19355010986328,7.161291122436523,2.1935484409332275,3.5852928161621094,0.1568981260061264,6.662596702575684,0.9550403356552124,38.83348083496094
momentmix,327,2,32.77419662475586,5.290322780609131,1.3548387289047241,1.9984607696533203,0.0,2.8098535537719727,3.545025587081909,29.05344009399414
momentmix,491,3,38.12903594970703,7.612903594970703,1.8709678649902344,2.0683746337890625,0.0,2.817700147628784,3.6477811336517334,27.087387084960938
momentmix,655,4,46.709678649902344,5.4838714599609375,1.548387050628662,3.003877639770508,0.0,3.9546408653259277,5.3363356590271,25.954378128051758
momentmix,819,5,55.03226089477539,16.000001907348633,5.806451797485352,10.205901145935059,8.297799110412598,11.98295783996582,6.665453910827637,24.32247543334961
momentmix,983,6,57.41936111450195,21.870969772338867,9.161290168762207,11.675524711608887,7.351573944091797,15.385786056518555,6.5532121658325195,22.5071964263916
momentmix,1147,7,60.2580680847168,24.064517974853516,8.967741966247559,13.382711410522461,12.292299270629883,14.96358585357666,6.299971103668213,21.315824508666992
momentmix,1311,8,62.83871078491211,31.09677505493164,12.580644607543945,15.84325885772705,12.942394256591797,17.650890350341797,9.716348648071289,20.35118865966797
momentmix,1475,9,62.51612854003906,37.93548583984375,16.83871078491211,18.395660400390625,9.905269622802734,22.588396072387695,13.488978385925293,19.42100715637207
momentmix,1639,10,65.0967788696289,45.67742156982422,27.354839324951172,26.38282585144043,19.37896156311035,30.69707679748535,14.44382381439209,18.853389739990234
momentmix,1803,11,65.61290740966797,50.90322494506836,31.483871459960938,30.79541015625,25.873531341552734,35.272560119628906,13.916913986206055,18.1535587310791
momentmix,1967,12,65.48387145996094,53.22581100463867,36.774192810058594,34.394535064697266,28.738821029663086,38.77132034301758,16.059776306152344,17.610843658447266
momentmix,2131,13,65.0967788696289,56.064517974853516,39.29032516479492,33.57909393310547,28.796709060668945,36.830928802490234,17.82634162902832,17.140336990356445
momentmix,2295,14,64.90322875976562,55.54838943481445,39.03226089477539,36.6931266784668,30.815410614013672,41.53261947631836,16.185312271118164,16.735692977905273
momentmix,2459,15,64.96774291992188,58.77419662475586,42.51612854003906,40.08591079711914,36.03429412841797,45.03544616699219,16.07310676574707,16.394838333129883
momentmix,2623,16,64.6451644897461,60.51613235473633,46.3870964050293,40.19768524169922,39.88042449951172,41.86420822143555,17.199460983276367,16.194503784179688
momentmix,2787,17,66.19355010986328,62.0,47.74193572998047,43.268497467041016,45.81254959106445,43.800254821777344,16.988309860229492,15.895594596862793
momentmix,2951,18,67.35484313964844,62.51612854003906,48.25806427001953,43.81854248046875,45.23546600341797,45.21781539916992,16.980606079101562,15.72158432006836
momentmix,3115,19,67.54838562011719,64.45161437988281,47.41935729980469,43.41058349609375,37.80939865112305,50.18416976928711,16.778202056884766,15.52761173248291
momentmix,3279,20,67.74193572998047,66.70967864990234,50.90322494506836,46.035640716552734,47.55391311645508,47.8206901550293,17.807518005371094,15.320334434509277
momentmix,3443,21,68.70967864990234,65.8709716796875,51.80645751953125,44.75224685668945,48.25226593017578,45.06080627441406,17.36516571044922,15.127781867980957
momentmix,3607,22,69.48387908935547,61.48387145996094,49.8709716796875,44.348819732666016,45.36868667602539,44.15393829345703,20.41969871520996,14.91086196899414
momentmix,3771,23,69.61290740966797,67.16129302978516,53.41935729980469,47.48849868774414,46.319332122802734,50.81937789916992,19.412933349609375,14.712503433227539
momentmix,3935,24,68.70967864990234,66.51612854003906,53.22581100463867,46.13051986694336,47.9666633605957,46.46300506591797,19.641109466552734,14.69753646850586
momentmix,4099,25,67.80644989013672,66.19355010986328,51.35484313964844,45.522525787353516,46.26073455810547,46.718963623046875,18.869735717773438,14.62596607208252
momentmix,4263,26,69.0967788696289,65.8709716796875,52.903228759765625,47.44745635986328,43.44252014160156,51.210941314697266,22.148618698120117,14.543841361999512
